model,rank,mean_cv_score,std_cv_score,C,penalty,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,learning_rate,subsample
RandomForest,62,0.7229581387728354,0.010507974226795872,,,25,sqrt,4.0,19.0,437.0,,
RandomForest,63,0.7229540427623495,0.012721456864103836,,,15,sqrt,5.0,18.0,351.0,,
RandomForest,64,0.722945850741378,0.018502039133252084,,,10,0.7,2.0,6.0,515.0,,
RandomForest,65,0.7229294666994347,0.028248871066344983,,,25,0.5,3.0,16.0,141.0,,
RandomForest,66,0.7223191611370525,0.014811280111186641,,,30,log2,3.0,18.0,182.0,,
RandomForest,67,0.7223130171213239,0.017343930430021026,,,20,log2,5.0,14.0,90.0,,
RandomForest,67,0.7223130171213239,0.015731235264443144,,,,0.7,5.0,7.0,486.0,,
RandomForest,69,0.722310969116081,0.016530479107222388,,,30,0.7,3.0,13.0,775.0,,
RandomForest,70,0.7223089211108381,0.015942263206194487,,,15,0.3,5.0,5.0,614.0,,
RandomForest,71,0.722308921110838,0.01740821611430565,,,,0.3,4.0,16.0,352.0,,
RandomForest,72,0.7223068731055952,0.018019311718691755,,,10,log2,3.0,13.0,616.0,,
RandomForest,72,0.7223068731055952,0.017443651391376058,,,15,0.5,4.0,12.0,689.0,,
RandomForest,74,0.7223048251003523,0.019259319346857193,,,,0.7,2.0,16.0,277.0,,
RandomForest,74,0.7223048251003523,0.01724612264477834,,,30,sqrt,7.0,14.0,742.0,,
RandomForest,76,0.7223048251003522,0.020889064768102508,,,,0.5,5.0,6.0,209.0,,
RandomForest,76,0.7223048251003522,0.019048894756927243,,,30,log2,7.0,15.0,265.0,,
RandomForest,78,0.7222986810846237,0.022577776224512666,,,,sqrt,6.0,17.0,398.0,,
RandomForest,79,0.7216678954698125,0.020507828506032857,,,10,sqrt,4.0,13.0,494.0,,
RandomForest,79,0.7216678954698125,0.016290908392936267,,,30,0.7,5.0,6.0,763.0,,
RandomForest,81,0.7216658474645696,0.017192252005248508,,,15,sqrt,6.0,13.0,438.0,,
RandomForest,82,0.7216617514540837,0.02365325441803122,,,,0.5,1.0,13.0,608.0,,
RandomForest,83,0.7210412058654871,0.01362622554614518,,,20,log2,3.0,18.0,169.0,,
RandomForest,84,0.7210391578602442,0.01290814732486939,,,,sqrt,3.0,3.0,102.0,,
RandomForest,85,0.7210248218235439,0.01978881883984226,,,20,log2,7.0,4.0,457.0,,
RandomForest,85,0.7210248218235439,0.017727315709612182,,,15,0.3,1.0,18.0,221.0,,
RandomForest,87,0.7210248218235437,0.02355661942402387,,,10,0.7,2.0,13.0,463.0,,
RandomForest,88,0.7210145817973295,0.023610972369818534,,,15,sqrt,6.0,14.0,748.0,,
RandomForest,89,0.7203960842139756,0.022183434649631947,,,30,0.7,6.0,4.0,125.0,,
RandomForest,90,0.7203837961825184,0.020931914486173743,,,10,0.5,1.0,2.0,740.0,,
